"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347691.355166","519448521.02941","546086853.304424","531067333.067804","540135770.207523","570741539.824914","662275557.021677","675028035.681699","623451537.73079","690047514.251654","747575116.132797","550621082.29095","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788426.25489","1594548362.4075","1866930004.59164","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9994813008.13008","11744907683.1447","13530306979.4382","16181037749.5992","17359874074.1602","18472449276.0536","25627346571.2845","26886637936.4819","29304945498.3092","32830360072.3104","33820154152.8479","36924080441.4852","37658602119.9609","40734109733.496","45993821195.4892","39045806253.0294","44385410500.6474",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","4758064516.12903","4876288659.79381","4137681159.42029","4368450184.50185","6139107142.85714","5962327150.08432","5610034484.80885","6304076346.28493","5825652718.0715","4797489756.51109","4947390946.12533","5519115551.27588","7277457147.80401","10713394070.2178","12703276793.0881","16150904893.2213","23262813855.8432","28590551192.8801","21963725741.0962","25395582780.5604","33916506221.1162","32772597897.5033","36043133821.9327","36875485687.1524","32398958286.1029","34460613687.7828","39660430423.5091","43598091732.0459","44060618775.0429","39419475033.5023","51548528237.9973",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340159.57447","4337766223.40425","3611169946.80851","3768351063.82979","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702127.65957","4520478723.40425","4796010638.29787","5364361436.17021","5020744946.80851","3994946808.51064","5221808510.6383","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","29564361702.1277","25249202127.6596","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4202800000","4214500000","4389400000","3936500000","3963000000","4573700000","4708300000","2452800000","3081800000",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022000000","1123990566.57385","1295321568.62745","1218360951.48375","1280156707.54026","1286945620.78922","1749682458.16503","2289130984.12698","2729020792.26807","3378033929.83131","4276291392.58223","5131401437.98682","4405111087.43519","5100738267.75919","5973018480.34686","5572978977.7953","6133981060.34892","6307817595.98426","5760340572.7247","6146602907.07539","7389802005.30137","8600062764.03138","8201185392.93687","6913440302.85381","9968951378.80987",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9950000000","6000000000","10185185185.1852","11008264462.8099","10641993957.7039","6939552977.46472","6839769230.76923","8457248497.9202","8988770378.07839","7186389618.7248","8815283224.1715","8246546762.58993","9285958123.9531","11615943442.2233","15711851851.8519","18063463324.0483","22195244755.2448","27593429636.5331","37027902621.7228","24865449337.6298","29396844578.7177","48458472361.809","51744692335.3724","44058175675.6757","43301115023.4742","32749824186.8642","29831121833.5344","36551674170.6774","42295053003.5336","41927191892.1503","37443843252.9923","49183440343.4829",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677.085","84972542.79","70947948.345","76516537.315","108649358.11","83652580.96","104359482.16","137936011.205","161076592.03","172914999.69","223500000","214500000","285000000","289500000","320500000","329000000","355000000","382500000","401000000","440500000","488000000","491000000","542500000","583000000","592000000","674000000","824000000","863000000","936000000","767000000","885500000","1039000000","1137500000","1140000000","1186500000","1131000000","1059500000","1128500000","1182500000","1238500000","770500000","1158000000",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3719872000","3841155000","3246335000","3549714000",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","60602013.3892052","66695604.2671831","67363395.0483314","81303527.6048014","109517688.108316","129713804.713805","142255892.255892","170033670.03367","169696969.69697","189814814.814815","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068846706.17008","1112933231.03934","1370742617.82177","1625893980.09784","1535521646.11805","1459382460.6461","1024367625.91346","844298549.007976","853524498.116938","862855069.724509","1061011078.04743","1108688418.86801","1147700441.26683","1131361415.20318","1094220182.41073","1295735721.24229","1514377684.72804","1670373428.44756","1673157451.9917","1673904720.4225","1398595313.46776","1534697097.11329","1626040094.44671","1710308633.19386","2069144754.02131","2731911668.34677","3394519867.0981","4783642081.48185","5483666738.84247","7487864940.66286","6194300356.12536","8093183277.03906","10565709254.7211","12774727337.1925","13518462720.6946","14285068712.0116","10186598887.1356","8311504860.39185","9341206390.69807","10470274257.4627","10210442517.0918","7425817969.41423","11243140347.7867",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1069822093.95372","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.9098","16026612550.3001","21276141967.6084","24828388398.9376","21435129573.2899","23221079048.8769","28317692073.148","22805519104.0741","19898135945.7627","23344412411.1765","30197005351.5418","30988258317.0254","32028709720.4413","29730384050.1383","35668490420.1102","38683106084.5045","49978835483.8031","57922145075.9927","57235482141.0805","61680043690.4528","60723205294.7474","57355154406.6295","66777376061.4589","69280498638.0661","72545957505.8211","84743569098.2941","110739751358.928","135918581909.3","159215718705.466","186198863078.424","229512905442.251","180894503601.08","240006821282.401","303021879423.721","292803747887.973","290362691897.407","270452613727.157","232489103970.663","223864176667.717","258329886601.492","280545185833.926","264561034351.629","243286639296.245","323361431299.125",
