"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","397875421.692741","563656831.773051","549204082.347246","620050850.365896","760610844.781565","789516322.799841","814737821.797812","913639901.201848","868581340.491987","988170710.740801","1124763246.98076","938861337.699821","863537083.333333","958701323.737309","1294857682.65127","1575422622.80306","1784273649.83165","1194951861.66774","2056130687.83069","2459010308.8042","3243617764.85788","2858506731.94614","2877295409.18164","2590824915.82492","2538320000","2860038461.53846","2577133333.33333","2842322580.64516","3255865304.99278","3679750953.74766","4126170021.3819","3785238095.23809","3915198938.99204","4677910052.91005","4681795511.22194","6580597014.92537","7601784841.0758","7625081967.21311","8058876651.98238","8525935940.09983","9060862651.56033","10102557449.9629","9060891520.11144","9761830742.65976","10229675556.3105","13891430894.3089","15626727218.5825","18268578048.0741","22873050575.7178","23726338034.7197","25106319010.5127","35373857176.7684","37272043676.6211","40135237754.4778","44128009984.4957","48280651359.4871","46185443714.8541","50467000572.5184","63761096214.6839","64920444321.7358","59183693205.0697","71019901846.7989",
"Bulgaria","BGR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","6088384615.38462","6859642857.14286","6424733333.33333","6118555555.55556","6729388888.88889","7411526315.78947","8802352941.17647","11977307692.3077","10352294117.6471","10589277777.7778","7577727272.72727","4290322580.64516","5479381443.29897","4963768115.94203","4429059040.59041","4351577380.95238","4588656548.62282","4174189904.27493","5276354237.67326","6449155466.07172","5500577403.09895","6269113379.41136","6827243139.14299","9430015005.48277","13630160624.7222","17080644177.6253","22027000577.1821","31626174947.5157","39341595243.4373","26258237719.4853","27015539461.2156","33830215428.3683","34556969119.5795","36360842833.8762","37495120065.1201","31942310133.7565","31813022058.8235","37107398444.2524","41912426674.7133","41835852318.2599","38042785643.5355","50137823799.7339",
"Bahrain","BHR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3540992040.329","4161702127.65957","3892819148.93617","3471808776.59574","3665159574.46809","3280851063.82979","2588829787.23404","2964627659.57447","2869148936.17021","3385638031.91489","4001596010.6383","4414893617.02128","4596276329.78723","4198138297.87234","4119148936.17021","4122340425.53191","4649734042.55319","4413031914.89362","3950532180.85106","4168882978.7234","5132180851.06383","4794680851.06383","5624202127.65957","6205053191.48936","8170478723.40425","10286968085.1064","11559042553.1915","12626329787.234","16276329787.234","11353989361.7021","13097074468.0851","21506648936.1702","25749202127.6596","28331382978.7234","26548936170.2128","22301861702.1277","21088031914.8936","23876329787.234","27048670212.766","25207712765.9574","23296808510.6383","",
"Bahamas, The","BHS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","471600000","562000000","686200000","839600000","889700000","939900000","1005300000","1190100000","1375500000","1431700000","1514500000","","1750510000","1771670000","1716350000","1592260000","1589080000","1739670000","1883080000","2086690000","2713700000","2943000000","3015600000","3359600000","3196400000","3028700000","3127000000","3421700000","4193800000","5006500000","5088400000","5045700000","4225400000","4414100000","5125700000","4944700000","4824700000","5133800000","4323700000","4393600000","4904500000","5077600000","4780000000","3314200000","4722500000",
"Bosnia and Herzegovina","BIH","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","1334000000","2336999933.54599","2672984372.29687","4049326021.48093","4412863888.88889","3533850824.30523","3710582311.49341","4010446438.88354","5097561915.75303","6021036507.93651","6738153430.40631","6891778205.3749","8907162071.37859","11336685215.698","8584651963.91789","8806994921.10788","10403826000.4265","9611645972.93391","9850603014.052","10497185524.3522","8723319761.83726","8958396753.57729","10321402961.8532","11562637296.3186","11158028160.9524","9694124053.58183","12750109458.1519",
"Belarus","BLR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9450000000","6000000000","9814814814.81481","13570247933.8843","12558744545.1494","7552655203.36993","7441153846.15385","9276190109.38222","9727865938.25876","7481164884.97563","9221273498.82313","8685107913.66906","9832808486.87884","12298586055.5826","17184722222.2222","17848607242.3398","23737156177.1562","30431314072.6934","41721254681.6479","30401933404.9409","36934306814.3672","49102934673.3668","48809523809.5238","46436407657.6577","43907521517.9969","32689583071.7066","29922094893.4459","36435957149.5109","41384766391.8335","42353093029.9264","35547220855.878","45443731043.4474",
"Belize","BLZ","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","113599759.06","123637027.175","107602916.665","104498168.48","125848628.625","109048963.77","112664081.52","147241619.565","182372057.97","212186146.74","211000000","258000000","273500000","280500000","304000000","304000000","321500000","363500000","391500000","492500000","611500000","601000000","615000000","651500000","617500000","697000000","749000000","774000000","897500000","745000000","773500000","919500000","994000000","1071500000","1104000000","1151500000","1101500000","1085500000","1126000000","1200500000","901000000","1248500000",
"Bermuda","BMU","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1579023000","1498077000","1484189000","1594256000","1626299000","1552149000","1615949000","1703748000","1884254000","1916492000","1519287000","1713731000",
"Bolivia","BOL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","89483964.6738677","94909764.7706973","113858328.185779","126128983.789379","126629826.87524","161279461.279461","177188552.188552","196632996.632997","206228956.228956","216161616.161616","247727272.727273","267340067.340067","302068446.784505","357671164.417791","562818590.704648","774712643.678161","816491754.122939","956771614.192904","1131534232.88356","1211274646.74832","1011201298.85335","1352344530.00766","1644889775.15552","1303554585.21097","1592952109.48864","1228323656.97392","1017851327.12144","1043169567.20031","1063833312.68352","1092054164.42086","1164631949.95889","1440847176.45087","1640403025.25317","1627865982.04028","1626751390.54215","1825637814.30327","2017479801.36365","2326903222.12283","2768710912.68761","2260778232.74379","2294564162.69103","2056200199.79113","2191068870.29289","2131085374.45164","2309687991.43145","3064661819.21871","3752334827.00085","4495795394.33462","6329651161.18426","5705628903.1339","6744572876.13836","9199095473.54764","10233217742.4023","11386396497.8292","13848955976.8452","12231374700.2854","10831641439.5959","11927938894.3622","12537987227.2316","12853418146.5547","9241956044.77603","12605111071.5703",
"Brazil","BRA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1078651437.23257","1118302726.08473","1033970196.04432","2097486800.99115","1204326396.14961","1210637974.35359","1621508461.2021","1764834054.99797","2239326014.7452","2454948720.19931","3153304260.31533","4004245613.85253","5177234171.78625","7532763884.77189","14596797400.1872","14233481672.8226","14401534168.3917","13948797699.9376","15791774010.8349","20642227950.3886","26571483279.6605","25827534749.1203","23307743170.8143","18314364418.7078","16563864377.1802","13211370397.4074","14341627217.9661","15281705968.2353","15787489029.9559","18952136652.805","27188115041.9693","27115606036.3239","27518767695.3196","33500364056.5262","48132722297.6479","72744966688.2403","75733720724.306","84722106136.1104","81258662202.7184","68462744049.6341","81614529572.9123","81560343632.9588","68249339405.5609","72344278472.7863","87894944172.8488","105595458264.87","129232641336.827","167160252118.535","232727652852.001","187616483044.913","263001364256.48","323150406563.845","326310480876.555","347274245211.261","335819379515.512","253273016892.603","216687193910.578","243509744939.525","272996332530.516","276632779870.706","233151285886.096","306975109372.683",
